               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  83,            0.019563,            0.011518,            0.029929,             0.73143,             0.74195,             0.77697,             0.51737,            0.020063,           0.0040901,            0.022414,            0.001882,            0.001882,            0.001882
                  84,            0.018728,            0.011382,            0.028679,              0.7304,               0.744,             0.77742,             0.51866,            0.020024,            0.004086,            0.022431,            0.001783,            0.001783,            0.001783
                  85,            0.019067,            0.011379,            0.029152,             0.73156,              0.7448,             0.77812,             0.51948,            0.019994,            0.004084,            0.022438,            0.001684,            0.001684,            0.001684
                  86,            0.019209,            0.011481,            0.029064,             0.73397,             0.74264,             0.77888,              0.5207,            0.019968,           0.0040802,            0.022441,            0.001585,            0.001585,            0.001585
                  87,            0.018284,            0.011353,             0.02749,             0.73498,             0.74143,             0.77941,             0.52182,            0.019956,           0.0040769,            0.022451,            0.001486,            0.001486,            0.001486
                  88,            0.018384,            0.011356,            0.027354,               0.736,             0.74234,             0.77958,              0.5226,            0.019937,           0.0040754,            0.022453,            0.001387,            0.001387,            0.001387
                  89,            0.017871,            0.011188,            0.027813,               0.735,             0.74288,             0.78022,             0.52399,              0.0199,           0.0040743,            0.022465,            0.001288,            0.001288,            0.001288
                  90,            0.017654,            0.011141,            0.026966,             0.74244,             0.73845,             0.78112,             0.52502,            0.019873,           0.0040709,            0.022481,            0.001189,            0.001189,            0.001189
                  91,            0.017656,            0.011138,            0.026225,             0.74344,             0.73682,             0.78129,             0.52534,            0.019853,           0.0040679,            0.022499,             0.00109,             0.00109,             0.00109
                  92,             0.01799,            0.011039,            0.027582,             0.73926,             0.74242,             0.78199,             0.52662,            0.019835,           0.0040637,            0.022532,            0.000991,            0.000991,            0.000991
                  93,            0.017588,            0.011024,            0.026114,             0.73974,             0.74504,             0.78263,             0.52759,            0.019813,           0.0040612,            0.022546,            0.000892,            0.000892,            0.000892
                  94,            0.017378,            0.010984,            0.025484,             0.73679,             0.74804,             0.78283,             0.52847,            0.019774,           0.0040578,            0.022552,            0.000793,            0.000793,            0.000793
                  95,            0.017006,            0.011008,            0.026538,             0.73429,             0.74968,             0.78285,             0.52946,            0.019752,           0.0040543,            0.022588,            0.000694,            0.000694,            0.000694
                  96,            0.016681,            0.010935,            0.025054,             0.73567,             0.74865,              0.7832,             0.53024,            0.019721,           0.0040514,            0.022614,            0.000595,            0.000595,            0.000595
                  97,            0.016737,            0.010889,            0.025501,             0.73027,             0.75299,             0.78271,             0.53047,            0.019698,           0.0040483,            0.022655,            0.000496,            0.000496,            0.000496
                  98,            0.016645,             0.01088,            0.025728,             0.73243,              0.7532,             0.78351,             0.53096,            0.019669,           0.0040454,            0.022692,            0.000397,            0.000397,            0.000397
                  99,            0.016162,            0.010793,             0.02465,             0.73369,              0.7522,             0.78334,             0.53174,            0.019639,           0.0040418,            0.022731,            0.000298,            0.000298,            0.000298
